name	preview	download
Overlock-BlackItalic	https://fonts.google.com/specimen/Overlock	https://raw.githubusercontent.com/google/fonts/main/ofl/overlock/Overlock-BlackItalic.ttf
Overlock-Black	https://fonts.google.com/specimen/Overlock	https://raw.githubusercontent.com/google/fonts/main/ofl/overlock/Overlock-Black.ttf
Overlock-Regular	https://fonts.google.com/specimen/Overlock	https://raw.githubusercontent.com/google/fonts/main/ofl/overlock/Overlock-Regular.ttf
Overlock-Italic	https://fonts.google.com/specimen/Overlock	https://raw.githubusercontent.com/google/fonts/main/ofl/overlock/Overlock-Italic.ttf
Overlock-Bold	https://fonts.google.com/specimen/Overlock	https://raw.githubusercontent.com/google/fonts/main/ofl/overlock/Overlock-Bold.ttf
Ruthie-Regular	https://fonts.google.com/specimen/Ruthie	https://raw.githubusercontent.com/google/fonts/main/ofl/ruthie/Ruthie-Regular.ttf
AnticSlab-Regular	https://fonts.google.com/specimen/Antic+Slab	https://raw.githubusercontent.com/google/fonts/main/ofl/anticslab/AnticSlab-Regular.ttf
JejuHallasan-Regular	https://fonts.google.com/specimen/Jeju+Hallasan	https://raw.githubusercontent.com/google/fonts/main/ofl/jejuhallasan/JejuHallasan-Regular.ttf
Tuffy-Bold	https://fonts.google.com/specimen/Tuffy	https://raw.githubusercontent.com/google/fonts/main/ofl/tuffy/Tuffy-Bold.ttf
Tuffy-BoldItalic	https://fonts.google.com/specimen/Tuffy	https://raw.githubusercontent.com/google/fonts/main/ofl/tuffy/Tuffy-BoldItalic.ttf
Tuffy-Regular	https://fonts.google.com/specimen/Tuffy	https://raw.githubusercontent.com/google/fonts/main/ofl/tuffy/Tuffy-Regular.ttf
Tuffy-Italic	https://fonts.google.com/specimen/Tuffy	https://raw.githubusercontent.com/google/fonts/main/ofl/tuffy/Tuffy-Italic.ttf
FaustinaVFBeta	https://fonts.google.com/specimen/Faustina+VFBeta	https://raw.githubusercontent.com/google/fonts/main/ofl/faustinavfbeta/FaustinaVFBeta.ttf
FaustinaVFBeta-Italic	https://fonts.google.com/specimen/Faustina+VFBeta	https://raw.githubusercontent.com/google/fonts/main/ofl/faustinavfbeta/FaustinaVFBeta-Italic.ttf
Imbue50pt-SemiBold	https://fonts.google.com/specimen/Imbue	https://raw.githubusercontent.com/google/fonts/main/ofl/imbue/static/Imbue50pt-SemiBold.ttf
Imbue100pt-Bold	https://fonts.google.com/specimen/Imbue	https://raw.githubusercontent.com/google/fonts/main/ofl/imbue/static/Imbue100pt-Bold.ttf
Imbue10pt-Regular	https://fonts.google.com/specimen/Imbue	https://raw.githubusercontent.com/google/fonts/main/ofl/imbue/static/Imbue10pt-Regular.ttf
Imbue100pt-ExtraBold	https://fonts.google.com/specimen/Imbue	https://raw.githubusercontent.com/google/fonts/main/ofl/imbue/static/Imbue100pt-ExtraBold.ttf
Imbue100pt-SemiBold	https://fonts.google.com/specimen/Imbue	https://raw.githubusercontent.com/google/fonts/main/ofl/imbue/static/Imbue100pt-SemiBold.ttf
Imbue100pt-Thin	https://fonts.google.com/specimen/Imbue	https://raw.githubusercontent.com/google/fonts/main/ofl/imbue/static/Imbue100pt-Thin.ttf
